Dataset,Group,Model,Category,TNNT-Category,Possible,Actual,Wrong,Total,Error,Precision,Recall,Fm__PR,Fm_2PR,Fm_P2R,Undergeneration,Overgeneration,Substitution
"WNUT17","gs18","deeppavlov_onto_model","PERSON","tnnt:Person",2084,1090,1785.00,2383,0.749056,0.548624,0.286948,0.376812,0.463998,0.317208,0.620441,0.274312,0.756005
"WNUT17","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person",1848,1196,1390.00,2135,0.651054,0.622910,0.403139,0.489488,0.561671,0.433745,0.508117,0.239967,0.819582
"WNUT17","ss4","deeppavlov_conll2003_model","PER","tnnt:Person",2002,1546,1877.00,2596,0.723035,0.465071,0.359141,0.405299,0.439164,0.376282,0.524476,0.384217,0.755252
"WNUT17","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person",2029,1250,1556.00,2330,0.667811,0.619200,0.381469,0.472095,0.550576,0.413197,0.532282,0.240800,0.815595
"WNUT17","gs18","deeppavlov_onto_model","ORG","tnnt:Organisation",1071,692,1194.00,1391,0.858375,0.284682,0.183940,0.223483,0.256577,0.197950,0.652661,0.462428,0.529570
"WNUT17","gs18","deeppavlov_onto_bert_model","ORG","tnnt:Organisation",889,615,933.00,1152,0.809896,0.356098,0.246344,0.291223,0.326963,0.262527,0.604049,0.427642,0.622159
"WNUT17","ss4","deeppavlov_conll2003_model","ORG","tnnt:Organisation",1235,1418,1598.50,1958,0.816394,0.253526,0.291093,0.271014,0.260243,0.282715,0.437247,0.509873,0.517266
"WNUT17","ss4","deeppavlov_conll2003_bert_model","ORG","tnnt:Organisation",1240,1506,1669.00,2040,0.818137,0.246348,0.299194,0.270211,0.255369,0.286885,0.430645,0.531208,0.525496
"WNUT17","gs18","deeppavlov_onto_model","NORP","tnnt:NORP",463,85,490.00,511,0.958904,0.247059,0.045356,0.076642,0.130760,0.054208,0.920086,0.564706,0.567568
"WNUT17","ss4","deeppavlov_conll2003_model","MISC","tnnt:NPLLE",1059,989,1679.50,1796,0.935134,0.117796,0.110009,0.113770,0.116152,0.111483,0.762040,0.745197,0.462302
"WNUT17","ss4","deeppavlov_conll2003_bert_model","MISC","tnnt:NPLLE",1127,808,1433.00,1585,0.904101,0.188119,0.134871,0.157106,0.174352,0.142965,0.689441,0.566832,0.434286
"WNUT17","gs18","deeppavlov_onto_bert_model","WORK_OF_ART","tnnt:WorkOfArt",486,261,535.00,618,0.865696,0.318008,0.170782,0.222222,0.271242,0.188209,0.734568,0.505747,0.643411
"WNUT17","gs18","deeppavlov_onto_bert_model","PRODUCT","tnnt:Product",502,150,501.50,561,0.893939,0.396667,0.118526,0.182515,0.269964,0.137859,0.818725,0.393333,0.653846
"WNUT17","ss4","deeppavlov_conll2003_model","LOC","tnnt:FGL",1182,668,1088.00,1406,0.773826,0.476048,0.269036,0.343784,0.412558,0.294663,0.624365,0.335329,0.716216
"WNUT17","gs18","deeppavlov_onto_model","WORK_OF_ART","tnnt:WorkOfArt",608,632,1014.00,1088,0.931985,0.117089,0.121711,0.119355,0.117985,0.120757,0.750000,0.759494,0.486842
"WNUT17","ss4","deeppavlov_conll2003_bert_model","LOC","tnnt:FGL",1125,560,940.00,1274,0.737834,0.596429,0.296889,0.396439,0.496285,0.330040,0.634667,0.266071,0.812652
"WNUT17","gs18","deeppavlov_onto_bert_model","GPE","tnnt:GPE",1069,314,866.50,1100,0.787727,0.743631,0.218428,0.337672,0.502151,0.254357,0.735267,0.098726,0.825088
"WNUT17","gs18","deeppavlov_onto_model","GPE","tnnt:GPE",1306,329,1151.50,1361,0.846069,0.636778,0.160413,0.256269,0.399504,0.188637,0.790199,0.167173,0.764599
"WNUT17","gs18","deeppavlov_onto_model","PRODUCT","tnnt:Product",575,224,694.50,728,0.953984,0.149554,0.058261,0.083855,0.113868,0.066363,0.876522,0.683036,0.471831
"WNUT17","gs18","deeppavlov_onto_model","FAC","tnnt:FAC",30,30,30.00,30,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"WNUT17","gs18","deeppavlov_onto_bert_model","FAC","tnnt:FAC",49,49,49.00,49,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"WNUT17","gs18","deeppavlov_onto_model","LOC","tnnt:Location",22,22,22.00,22,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"WNUT17","gs18","deeppavlov_onto_bert_model","LOC","tnnt:Location",18,18,18.00,18,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"WNUT17","gs18","deeppavlov_onto_bert_model","NORP","tnnt:NORP",354,60,357.50,381,0.938320,0.391667,0.066384,0.113527,0.197811,0.079607,0.906780,0.450000,0.712121
"WNUT17","gs18","deeppavlov_onto_bert_model","DATE","tnnt:Date",3,3,3.00,3,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"WNUT17","gs18","deeppavlov_onto_model","DATE","tnnt:Date",8,8,8.00,8,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"WNUT17","gs18","deeppavlov_onto_model","ORDINAL","tnnt:Ordinal",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"WNUT17","gs18","deeppavlov_onto_model","CARDINAL","tnnt:Cardinal",1,1,1.00,1,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"WNUT17","gs18","deeppavlov_onto_bert_model","ORDINAL","tnnt:Ordinal",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"WNUT17","gs18","deeppavlov_onto_bert_model","LANGUAGE","tnnt:Language",2,2,2.00,2,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"WNUT17","gs18","deeppavlov_onto_bert_model","EVENT","tnnt:Event",7,7,7.00,7,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"WNUT17","gs18","deeppavlov_onto_bert_model","TIME","tnnt:Time",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"WNUT17","gs18","deeppavlov_onto_bert_model","CARDINAL","tnnt:Cardinal",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"WNUT17","gs18","deeppavlov_onto_model","EVENT","tnnt:Event",8,8,8.00,8,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"WNUT17","gs18","deeppavlov_onto_model","LAW","tnnt:Law",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"WNUT17","gs18","deeppavlov_onto_bert_model","LAW","tnnt:Law",1,1,1.00,1,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"WNUT17","gs18","deeppavlov_onto_model","LANGUAGE","tnnt:Language",1,1,1.00,1,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"WNUT17","gs18","deeppavlov_onto_model","TIME","tnnt:Time",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"WNUT17","gs18","deeppavlov_onto_model","PERCENT","tnnt:Percent",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"WNUT17","gs18","deeppavlov_onto_bert_model","PERCENT","tnnt:Percent",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"WNUT17","gs18","deeppavlov_onto_model","MONEY","tnnt:Money",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"WNUT17","gs18","deeppavlov_onto_bert_model","MONEY","tnnt:Money",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"WNUT17","gs18","deeppavlov_onto_model","QUANTITY","tnnt:Quantity",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"WNUT17","gs18","deeppavlov_onto_bert_model","QUANTITY","tnnt:Quantity",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"WNUT17","sc7","stanford_class7_model","LOCATION","tnnt:FGL",1468,329,1288.50,1509,0.853877,0.670213,0.150204,0.245409,0.396013,0.177794,0.803815,0.124620,0.765625
"WNUT17","ss4","stanford_class4_model","LOCATION","tnnt:FGL",1121,529,1013.00,1271,0.797010,0.487713,0.230152,0.312727,0.398517,0.257331,0.661909,0.283554,0.680739
"WNUT17","bs3","stanford_class3_model","LOCATION","tnnt:FGL",1465,338,1278.50,1512,0.845569,0.690828,0.159386,0.259013,0.414448,0.188367,0.801365,0.139053,0.802405
"WNUT17","ss4","stanford_class4_model","ORGANIZATION","tnnt:Organisation",1025,1189,1434.50,1693,0.847312,0.217410,0.252195,0.233514,0.223577,0.244375,0.491707,0.561817,0.496161
"WNUT17","gs18","spacy_sm_model","PRODUCT","tnnt:Product",210,140,296.00,308,0.961039,0.085714,0.057143,0.068571,0.077922,0.061224,0.800000,0.700000,0.285714
"WNUT17","ss4","bert_model","ORG","tnnt:Organisation",886,1270,1201.50,1530,0.785294,0.258661,0.370767,0.304731,0.275310,0.341192,0.293454,0.507087,0.524760
"WNUT17","ss4","flair_fast_model","PER","tnnt:Person",1753,1100,1412.00,2060,0.685437,0.589091,0.369652,0.454259,0.526572,0.399408,0.547633,0.279091,0.817150
"WNUT17","gs18","flair_fast_ontonotes_model","PERSON","tnnt:Person",1789,1125,1365.00,2063,0.661658,0.620444,0.390162,0.479067,0.554937,0.421447,0.524315,0.243556,0.820212
"WNUT17","ss4","flair_pooled_model","ORG","tnnt:Organisation",1058,801,1142.00,1391,0.820992,0.310861,0.235350,0.267886,0.292116,0.247367,0.557656,0.415730,0.532051
"WNUT17","ss4","allennlp_ner","MISC","tnnt:NPLLE",1027,1164,1515.50,1718,0.882130,0.173969,0.197176,0.184847,0.178163,0.192052,0.539435,0.593643,0.428118
"WNUT17","gs18","stanza_model","GPE","tnnt:GPE",1094,359,916.50,1165,0.786695,0.692201,0.227148,0.342051,0.491107,0.262408,0.736746,0.197772,0.862847
"WNUT17","gs18","spacy_sm_model","GPE","tnnt:GPE",531,364,448.50,638,0.702978,0.520604,0.356874,0.423464,0.476850,0.380828,0.516008,0.293956,0.737354
"WNUT17","gs18","spacy_md_model","GPE","tnnt:GPE",779,384,654.50,884,0.740385,0.597656,0.294608,0.394669,0.495680,0.327857,0.641849,0.273438,0.822581
"WNUT17","gs18","spacy_lg_model","GPE","tnnt:GPE",738,417,579.00,841,0.688466,0.628297,0.355014,0.453680,0.544472,0.388839,0.574526,0.247002,0.834395
"WNUT17","nl5","nltk_model","GPE","tnnt:GPE",899,435,849.00,1033,0.821878,0.422989,0.204672,0.275862,0.348617,0.228231,0.665184,0.308046,0.611296
"WNUT17","ss4","bert_model","LOC","tnnt:FGL",732,476,506.00,824,0.614078,0.668067,0.434426,0.526490,0.603187,0.467098,0.475410,0.193277,0.828125
"WNUT17","ss4","flair_model","LOC","tnnt:FGL",1100,435,854.00,1163,0.734308,0.710345,0.280909,0.402606,0.544014,0.319545,0.661818,0.144828,0.830645
"WNUT17","gs18","flair_ontonotes_model","GPE","tnnt:GPE",1185,296,968.00,1208,0.801325,0.810811,0.202532,0.324105,0.506543,0.238284,0.769620,0.077703,0.879121
"WNUT17","ss4","flair_fast_model","LOC","tnnt:FGL",1073,447,862.50,1155,0.746753,0.654362,0.272600,0.384868,0.511185,0.308609,0.659832,0.183445,0.801370
"WNUT17","gs18","flair_fast_ontonotes_model","GPE","tnnt:GPE",1144,305,933.50,1175,0.794468,0.791803,0.211101,0.333333,0.510787,0.247388,0.760490,0.101639,0.881387
"WNUT17","ss4","flair_pooled_model","LOC","tnnt:FGL",1147,392,912.50,1198,0.761686,0.728316,0.248910,0.371020,0.525783,0.286647,0.702703,0.130102,0.837243
"WNUT17","ss4","allennlp_ner","LOC","tnnt:FGL",942,473,720.50,1031,0.698836,0.656448,0.329618,0.438869,0.547812,0.366069,0.592357,0.188161,0.808594
"WNUT17","bs3","polyglot_model","LOC","tnnt:FGL",1010,391,856.00,1103,0.776065,0.631714,0.244554,0.352605,0.479798,0.278718,0.704950,0.237852,0.828859
"WNUT17","ss4","stanford_class4_model","PERSON","tnnt:Person",1762,1014,1439.00,2030,0.708867,0.582840,0.335414,0.425793,0.507906,0.366534,0.576617,0.264300,0.792225
