Dataset,Group,Model,Category,TNNT-Category,Possible,Actual,Wrong,Total,Error,Precision,Recall,Fm__PR,Fm_2PR,Fm_P2R,Undergeneration,Overgeneration,Substitution
"re3d","gs18","deeppavlov_onto_model","PERSON","tnnt:Person",383,168,325.00,414,0.785024,0.529762,0.232376,0.323049,0.421801,0.261765,0.642298,0.184524,0.649635
"re3d","gs18","deeppavlov_onto_bert_model","PERSON","tnnt:Person",366,135,294.00,378,0.777778,0.622222,0.229508,0.335329,0.463576,0.262664,0.663934,0.088889,0.682927
"re3d","ss4","deeppavlov_conll2003_model","PER","tnnt:Person",314,161,248.00,338,0.733728,0.559006,0.286624,0.378947,0.469729,0.317572,0.563694,0.149068,0.656934
"re3d","ss4","deeppavlov_conll2003_bert_model","PER","tnnt:Person",370,135,298.00,384,0.776042,0.637037,0.232432,0.340594,0.472527,0.266254,0.672973,0.103704,0.710744
"re3d","gs18","deeppavlov_onto_model","GPE","tnnt:GPE",84,84,84.00,84,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"re3d","gs18","deeppavlov_onto_bert_model","GPE","tnnt:GPE",97,97,97.00,97,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"re3d","ss4","deeppavlov_conll2003_model","LOC","tnnt:FGL",885,240,781.00,915,0.853552,0.558333,0.151412,0.238222,0.363144,0.177249,0.762712,0.125000,0.638095
"re3d","ss4","deeppavlov_conll2003_model","ORG","tnnt:Organisation",1406,266,1342.00,1469,0.913547,0.477444,0.090327,0.151914,0.257085,0.107810,0.855619,0.236842,0.625616
"re3d","ss4","deeppavlov_conll2003_bert_model","LOC","tnnt:FGL",948,226,840.50,976,0.861168,0.599558,0.142932,0.230835,0.365821,0.168616,0.791139,0.123894,0.684343
"re3d","ss4","deeppavlov_conll2003_bert_model","ORG","tnnt:Organisation",1503,202,1417.50,1531,0.925865,0.561881,0.075516,0.133138,0.245565,0.091326,0.884232,0.138614,0.652299
"re3d","gs18","deeppavlov_onto_bert_model","ORG","tnnt:Organisation",1388,215,1286.50,1421,0.905348,0.625581,0.096902,0.167810,0.299155,0.116612,0.868876,0.153488,0.739011
"re3d","gs18","deeppavlov_onto_bert_model","EVENT","tnnt:Event",2,2,2.00,2,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"re3d","gs18","deeppavlov_onto_model","ORG","tnnt:Organisation",1411,223,1320.50,1453,0.908809,0.594170,0.093905,0.162179,0.287668,0.112920,0.871722,0.188341,0.732044
"re3d","ss4","deeppavlov_conll2003_model","MISC","tnnt:NPLLE",395,116,414.50,449,0.923163,0.297414,0.087342,0.135029,0.200815,0.101710,0.843038,0.465517,0.556452
"re3d","ss4","deeppavlov_conll2003_bert_model","MISC","tnnt:NPLLE",438,120,463.00,498,0.929719,0.291667,0.079909,0.125448,0.190632,0.093483,0.863014,0.500000,0.583333
"re3d","gs18","deeppavlov_onto_model","WORK_OF_ART","tnnt:WorkOfArt",82,23,91.50,95,0.963158,0.152174,0.042683,0.066667,0.100575,0.049858,0.878049,0.565217,0.350000
"re3d","gs18","deeppavlov_onto_bert_model","PRODUCT","tnnt:Product",261,15,257.00,264,0.973485,0.466667,0.026820,0.050725,0.109034,0.033050,0.954023,0.200000,0.583333
"re3d","gs18","deeppavlov_onto_model","PRODUCT","tnnt:Product",263,13,265.00,268,0.988806,0.230769,0.011407,0.021739,0.047619,0.014085,0.969582,0.384615,0.375000
"re3d","gs18","deeppavlov_onto_model","EVENT","tnnt:Event",4,4,4.00,4,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"re3d","gs18","deeppavlov_onto_bert_model","NORP","tnnt:NORP",33,52,41.50,58,0.715517,0.317308,0.500000,0.388235,0.342324,0.448370,0.181818,0.480769,0.611111
"re3d","gs18","deeppavlov_onto_bert_model","WORK_OF_ART","tnnt:WorkOfArt",92,9,91.50,96,0.953125,0.500000,0.048913,0.089109,0.175781,0.059682,0.945652,0.444444,0.900000
"re3d","gs18","deeppavlov_onto_model","NORP","tnnt:NORP",37,56,48.50,65,0.746154,0.294643,0.445946,0.354839,0.316092,0.404412,0.243243,0.500000,0.589286
"re3d","gs18","deeppavlov_onto_bert_model","LANGUAGE","tnnt:Language",3,3,3.00,3,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"re3d","gs18","deeppavlov_onto_bert_model","LOC","tnnt:Location",853,29,842.50,860,0.979651,0.603448,0.020516,0.039683,0.090299,0.025429,0.974209,0.241379,0.795455
"re3d","gs18","deeppavlov_onto_model","FAC","tnnt:FAC",11,11,11.00,11,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"re3d","gs18","deeppavlov_onto_bert_model","FAC","tnnt:FAC",12,12,12.00,12,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"re3d","gs18","deeppavlov_onto_bert_model","QUANTITY","tnnt:Quantity",42,15,35.00,42,0.833333,0.466667,0.166667,0.245614,0.343137,0.191257,0.642857,0.000000,0.466667
"re3d","gs18","deeppavlov_onto_bert_model","TIME","tnnt:Time",29,15,20.00,30,0.666667,0.666667,0.344828,0.454545,0.561798,0.381679,0.517241,0.066667,0.714286
"re3d","gs18","deeppavlov_onto_model","LOC","tnnt:Location",841,33,824.50,846,0.974586,0.651515,0.025565,0.049199,0.110483,0.031646,0.966706,0.151515,0.767857
"re3d","gs18","deeppavlov_onto_model","CARDINAL","tnnt:Cardinal",50,50,50.00,50,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"re3d","gs18","deeppavlov_onto_bert_model","DATE","tnnt:Date",149,159,62.00,174,0.356322,0.704403,0.751678,0.727273,0.713376,0.741722,0.100671,0.157233,0.835821
"re3d","gs18","deeppavlov_onto_model","LAW","tnnt:Law",82,15,78.50,87,0.902299,0.566667,0.103659,0.175258,0.299296,0.123907,0.878049,0.333333,0.850000
"re3d","gs18","deeppavlov_onto_bert_model","LAW","tnnt:Law",96,12,92.00,99,0.929293,0.583333,0.072917,0.129630,0.243056,0.088384,0.906250,0.250000,0.777778
"re3d","gs18","deeppavlov_onto_model","LANGUAGE","tnnt:Language",3,3,3.00,3,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"re3d","gs18","deeppavlov_onto_model","DATE","tnnt:Date",182,167,71.00,200,0.355000,0.772455,0.708791,0.739255,0.758824,0.720670,0.181319,0.107784,0.865772
"re3d","gs18","deeppavlov_onto_bert_model","CARDINAL","tnnt:Cardinal",49,49,49.00,49,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"re3d","gs18","deeppavlov_onto_model","TIME","tnnt:Time",42,14,41.00,47,0.872340,0.428571,0.142857,0.214286,0.306122,0.164835,0.785714,0.357143,0.666667
"re3d","gs18","deeppavlov_onto_model","PERCENT","tnnt:Percent",2,2,2.00,2,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"re3d","gs18","deeppavlov_onto_bert_model","PERCENT","tnnt:Percent",1,1,1.00,1,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"re3d","gs18","deeppavlov_onto_model","MONEY","tnnt:Money",20,2,18.00,20,0.900000,1.000000,0.100000,0.181818,0.357143,0.121951,0.900000,0.000000,1.000000
"re3d","gs18","deeppavlov_onto_bert_model","MONEY","tnnt:Money",21,3,18.50,21,0.880952,0.833333,0.119048,0.208333,0.378788,0.143678,0.857143,0.000000,0.833333
"re3d","gs18","deeppavlov_onto_model","QUANTITY","tnnt:Quantity",36,13,30.50,37,0.824324,0.500000,0.180556,0.265306,0.369318,0.207006,0.666667,0.076923,0.541667
"re3d","gs18","deeppavlov_onto_model","ORDINAL","tnnt:Ordinal",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"re3d","gs18","deeppavlov_onto_bert_model","ORDINAL","tnnt:Ordinal",0,0,0.00,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
"re3d","sc7","stanford_class7_model","LOCATION","tnnt:FGL",725,160,644.50,744,0.866263,0.621875,0.137241,0.224859,0.364469,0.162582,0.805517,0.118750,0.705674
"re3d","ss4","stanford_class4_model","LOCATION","tnnt:FGL",680,191,596.50,703,0.848506,0.557592,0.156618,0.244546,0.368767,0.182927,0.752941,0.120419,0.633929
"re3d","bs3","stanford_class3_model","LOCATION","tnnt:FGL",712,169,619.50,727,0.852132,0.636095,0.150983,0.244041,0.387248,0.178157,0.783708,0.088757,0.698052
"re3d","gs18","stanza_model","GPE","tnnt:GPE",94,94,94.00,94,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"re3d","gs18","spacy_sm_model","GPE","tnnt:GPE",77,77,77.00,77,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"re3d","gs18","spacy_lg_model","GPE","tnnt:GPE",71,71,71.00,71,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"re3d","nl5","nltk_model","GPE","tnnt:GPE",89,89,89.00,89,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"re3d","ss4","bert_model","LOC","tnnt:FGL",620,223,521.50,653,0.798622,0.589686,0.212097,0.311981,0.434854,0.243248,0.693548,0.147982,0.692105
"re3d","ss4","flair_model","LOC","tnnt:FGL",660,200,551.00,678,0.812684,0.635000,0.192424,0.295349,0.434932,0.223592,0.724242,0.090000,0.697802
"re3d","gs18","flair_ontonotes_model","GPE","tnnt:GPE",95,95,95.00,95,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"re3d","ss4","flair_fast_model","LOC","tnnt:FGL",667,205,561.50,691,0.812590,0.631707,0.194153,0.297018,0.435440,0.225374,0.728636,0.117073,0.715470
"re3d","gs18","flair_fast_ontonotes_model","GPE","tnnt:GPE",91,91,91.00,91,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"re3d","ss4","flair_pooled_model","LOC","tnnt:FGL",669,200,560.50,688,0.814680,0.637500,0.190583,0.293441,0.433969,0.221662,0.729447,0.095000,0.704420
"re3d","ss4","allennlp_ner","LOC","tnnt:FGL",676,207,572.50,701,0.816690,0.620773,0.190089,0.291053,0.427194,0.220715,0.730769,0.120773,0.706044
"re3d","bs3","polyglot_model","LOC","tnnt:FGL",626,184,527.50,640,0.824219,0.611413,0.179712,0.277778,0.412996,0.209263,0.728435,0.076087,0.661765
"re3d","gs18","spacy_md_model","GPE","tnnt:GPE",76,76,76.00,76,1.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000
"re3d","ss4","stanford_class4_model","PERSON","tnnt:Person",300,183,253.00,341,0.741935,0.480874,0.293333,0.364389,0.426357,0.318149,0.526667,0.224044,0.619718
"re3d","gs18","spacy_md_model","PERSON","tnnt:Person",310,178,252.50,340,0.742647,0.491573,0.282258,0.358607,0.428082,0.308533,0.522581,0.168539,0.591216
"re3d","gs18","spacy_md_model","DATE","tnnt:Date",161,177,53.50,189,0.283069,0.765537,0.841615,0.801775,0.779632,0.825213,0.074534,0.158192,0.909396
"re3d","gs18","spacy_lg_model","PERSON","tnnt:Person",294,181,239.50,327,0.732416,0.483425,0.297619,0.368421,0.429764,0.322402,0.496599,0.182320,0.591216
"re3d","ss4","flair_model","PER","tnnt:Person",294,145,218.50,309,0.707120,0.624138,0.307823,0.412301,0.517735,0.342544,0.557823,0.103448,0.696154
"re3d","ss4","flair_pooled_model","PER","tnnt:Person",295,146,225.50,314,0.718153,0.606164,0.300000,0.401361,0.503413,0.333710,0.569492,0.130137,0.696850
